2022-04-30T04:32:32.195010624Z stdout F {"t":{"$date":"2022-04-30T04:32:32.190+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293152:190955][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 43, snapshot max: 43 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:33:02.504697149Z stdout F {"t":{"$date":"2022-04-30T04:33:02.491+00:00"},"s":"I",  "c":"COMMAND",  "id":20499,   "ctx":"ftdc","msg":"serverStatus was very slow","attr":{"timeStats":{"after basic":0,"after asserts":0,"after bucketCatalog":0,"after catalogStats":0,"after connections":0,"after electionMetrics":0,"after extra_info":0,"after flowControl":0,"after freeMonitoring":0,"after globalLock":0,"after locks":0,"after logicalSessionRecordCache":0,"after mirroredReads":0,"after network":0,"after opLatencies":0,"after opcounters":0,"after opcountersRepl":0,"after oplogTruncation":1,"after readConcernCounters":1,"after repl":1,"after scramCache":1,"after security":1,"after storageEngine":1,"after tcmalloc":1,"after tenantMigrations":1,"after trafficRecording":1,"after transactions":1,"after transportSecurity":1,"after twoPhaseCommitCoordinator":1,"after wiredTiger":1266,"at end":1431}}}
2022-04-30T04:33:32.301311915Z stdout F {"t":{"$date":"2022-04-30T04:33:32.294+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293212:294592][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 45, snapshot max: 45 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:34:32.347308315Z stdout F {"t":{"$date":"2022-04-30T04:34:32.346+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293272:345982][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 47, snapshot max: 47 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:35:32.810712376Z stdout F {"t":{"$date":"2022-04-30T04:35:32.807+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293332:807462][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 49, snapshot max: 49 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:36:32.858243763Z stdout F {"t":{"$date":"2022-04-30T04:36:32.857+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293392:857395][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 51, snapshot max: 51 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:37:32.935515893Z stdout F {"t":{"$date":"2022-04-30T04:37:32.935+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293452:930893][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 53, snapshot max: 53 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:37:52.716561817Z stdout F {"t":{"$date":"2022-04-30T04:37:52.713+00:00"},"s":"I",  "c":"COMMAND",  "id":20499,   "ctx":"ftdc","msg":"serverStatus was very slow","attr":{"timeStats":{"after basic":0,"after asserts":0,"after bucketCatalog":0,"after catalogStats":0,"after connections":0,"after electionMetrics":0,"after extra_info":0,"after flowControl":0,"after freeMonitoring":0,"after globalLock":11,"after locks":11,"after logicalSessionRecordCache":11,"after mirroredReads":11,"after network":11,"after opLatencies":11,"after opcounters":11,"after opcountersRepl":11,"after oplogTruncation":16,"after readConcernCounters":16,"after repl":16,"after scramCache":16,"after security":16,"after storageEngine":16,"after tcmalloc":16,"after tenantMigrations":16,"after trafficRecording":16,"after transactions":16,"after transportSecurity":16,"after twoPhaseCommitCoordinator":16,"after wiredTiger":106,"at end":1690}}}
2022-04-30T04:38:33.053881829Z stdout F {"t":{"$date":"2022-04-30T04:38:33.050+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293513:50827][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 55, snapshot max: 55 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
2022-04-30T04:39:33.751536823Z stdout F {"t":{"$date":"2022-04-30T04:39:33.751+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":"[1651293573:751274][1:0x7f2491943700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 57, snapshot max: 57 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 1"}}
